"built_work_site_primary_key","site_name_pinyin","site_name2_traditional","site_name3_simplified","iri_local_name","modified","dont_use_site_name_zh-Hans","dont_use_site_name_zh-Latn-pinyin","site_name_en","site_main_image","site_geonames_id","site_getty_togn_id","earliest_period_zn-Hans","earliest_period_en","earliest_period_iri","latest_period_zn-Hans","latest_period_en","latest_period_iri","site_date_verbatim_zn-Hans","site_date_en","location_zn-Hans","province_name_zn-Hans","province_name_zn-Hant","province_name_zh-latn-pinyin","province_zn-Hans","province_zn-Hant","county-city_name_zn-Hans","political subdivision_zn-Hans","county-city_name_zh-latn-pinyin","political subdivision_en","political_subdivision_getty_tgn","subdivision_getty_aat_type","locality_zn-Hans","political subdivision2_zn-Hans","Geo_note","county-city_verbatim_zn-Hans","locality_en","locality_geonames_id","locality_getty_togn_id","Note"
"000051","Jingzhuang Dayunsi","荊莊大雲寺","荆庄大云寺","Jingzhuang_Dayunsi","2017-04-03T21:42:00-05:00","荆庄大云寺大雄宝殿","Jingzhuang Dayunsi","Dayun Monastery in Jingzhuang",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省浑源县","山西","山西","Shanxi","山西省","山西省","浑源","县",,"County",,,,,,"浑源县",,,,
"000052","Jiutianshengmumiao","九天聖母廟","九天圣母庙","Jiutianshengmumiao","2017-04-03T21:42:00-05:00","九天圣母庙","Jiutianshengmumiao","Jiutian Sage Mother Temple","https://farm5.staticflickr.com/4078/4822197672_35fd7d2017_z.jpg",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Northern Song to Qing","山西省平顺县","山西","山西","Shanxi","山西省","山西省","平顺","县","Pingshun","County","8618711","300387198",,,,"平顺县",,,,
"000053","Kaifusi","開福寺","开福寺","Kaifusi","2017-04-03T21:42:00-05:00","开福寺","Kaifusi","Kaifu Monastery",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","明","Ming","http://n2t.net/ark:/99152/p0fp7wv2s8c","金至明","Jin to Ming","山西省阳城县","山西","山西","Shanxi","山西省","山西省","阳城","县","Yangcheng","County","8683046","300387198",,,,"阳城县",,,,
"000054","Kaihuasi","開化寺","开化寺","Kaihuasi","2017-04-03T21:42:00-05:00","开化寺","Kaihuasi","Kaihua Monastery",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Northern Song to Qing","山西省高平市","山西","山西","Shanxi","山西省","山西省","高平","市","Gaoping","City","8206832","300387198",,,,"高平市",,,,
"000055","Kaishansi","開善寺","开善寺","Kaishansi","2017-04-03T21:42:00-05:00","开善寺","Kaishansi","Kaishan Monastery",,,,"辽","Liao ","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽","Liao ","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽","Liao ","河北省高碑店市","河北","河北","Hebei","河北省","河北省","高碑店","市","Gaobeidian Shi","City","8682025","300387198",,,,"高碑店市",,,,
"000056","Kaiyuansi","開元寺鐘樓","开元寺钟楼","Kaiyuansi","2017-04-03T21:42:00-05:00","开元寺钟楼","Kaiyuansi","Kaiyuan Monastery",,,,"唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","唐至清","Tang to Qing","河北省正定县","河北","河北","Hebei","河北省","河北省","正定","县",,"County",,,,,,"正定县",,,,
"000057","Qinshui Shengtiansi","沁水聖天寺","沁水圣天寺","Qinshui_Shengtiansi","2017-04-03T21:42:00-05:00","沁水圣天寺","Qinshui Shengtiansi","Qinshui Shengtian Monastery",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","宋","Song","http://n2t.net/ark:/99152/p0fp7wv9x7n","宋","Song","山西省沁水县","山西","山西","Shanxi","山西省","山西省","沁水","县","Qinshui","County","8627543","300387198","郑庄","镇","廊必村","庄廊必村","Dong_Langbicun_Zhengzhuangzhen_Qinshui",,,
"000058","Liang Cheng guli","兩程故裡","两程故里","Liang_Cheng_guli","2017-04-03T21:42:00-05:00","两程故里","Liang Cheng guli","Liang Cheng ancient ward",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","明","Ming","http://n2t.net/ark:/99152/p0fp7wv2s8c","宋至明","Song to Ming","河南省嵩县","河南","河南","Henan","河南省","河南省","嵩","县",,"County",,,,,,"嵩县",,,,
"000059","Liang Cheng guli Liang Cheng ci","兩程故裡兩程祠","两程故里两程祠","Liang_Cheng_guli_Liang_Cheng_ci","2017-04-03T21:42:00-05:00","兩程故裡兩程祠","Liang Cheng guli Liang Cheng ci","Cheng Brothers Shrine in Liang Cheng ancient ward",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","明","Ming"," http://n2t.net/ark:/99152/p0fp7wv2s8c","宋至明","Song to Ming","河南省嵩县","河南",,"Henan","河南省","河南省","嵩","县",,,,,,,,,,,,
"000060","Lingchuan Longyansi","陵川龍岩寺","陵川龙岩寺","Longyansi","2017-04-03T21:42:00-05:00","龙岩寺","Longyansi","Lingchuan Longyan Monastery",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","明","Ming","http://n2t.net/ark:/99152/p0fp7wv2s8c","金、明","Jin to Ming","山西省陵川县","山西","山西","Shanxi","山西省","山西省","陵川","县",,"County",,,,,,"陵川县",,,,
